키워드순번,품목키워드,키워드레벨,상위키워드순번,판정결과코드,종결여부,사용여부,자동완성용키워드
2392,민간용 자동차 레이더,2,2299,3,Y,Y,ㅁㅣㄴㄱㅏㄴㅇㅛㅇ ㅈㅏㄷㅗㅇㅊㅏ ㄹㅔㅇㅣㄷㅓ
2393,표면 탐색율 570m^2/s 이하,2,2348,2,Y,Y,ㅍㅛㅁㅕㄴ ㅌㅏㅁㅅㅐㄱㅇㅠㄹ 570m^2/s ㅇㅣㅎㅏ
803,디스럽터,2,255,1,Y,Y,ㄷㅣㅅㅡㄹㅓㅂㅌㅓ
804,"개발, 생산 및 사용을 위한 소프트웨어",2,19,,,Y,"ㄱㅐㅂㅏㄹ, ㅅㅐㅇㅅㅏㄴ ㅁㅣㅊ ㅅㅏㅇㅛㅇㅇㅡㄹ ㅇㅟㅎㅏㄴ ㅅㅗㅍㅡㅌㅡㅇㅞㅇㅓ"
4161,프로펠러 블레이드,1,,,,Y,ㅍㅡㄹㅗㅍㅔㄹㄹㅓ ㅂㅡㄹㄹㅔㅇㅣㄷㅡ
4160,풍동,1,,,,Y,ㅍㅜㅇㄷㅗㅇ
4159,회전 블링,1,,,,Y,ㅎㅚㅈㅓㄴ ㅂㅡㄹㄹㅣㅇ
4158,회전 블리스크,1,,,,Y,ㅎㅚㅈㅓㄴ ㅂㅡㄹㄹㅣㅅㅡㅋㅡ
4157,팁 슈라우드,1,,,,Y,ㅌㅣㅂ ㅅㅠㄹㅏㅇㅜㄷㅡ
4156,중공 팬 블레이드,1,,,,Y,ㅈㅜㅇㄱㅗㅇ ㅍㅐㄴ ㅂㅡㄹㄹㅔㅇㅣㄷㅡ
4155,연소기,1,,,,Y,ㅇㅕㄴㅅㅗㄱㅣ
4154,에어포일,1,,,,Y,ㅇㅔㅇㅓㅍㅗㅇㅣㄹ
4153,셀,1,,,,Y,ㅅㅔㄹ
4152,분리 덕트,1,,,,Y,ㅂㅜㄴㄹㅣ ㄷㅓㄱㅌㅡ
4151,베인,1,,,,Y,ㅂㅔㅇㅣㄴ
